text,label
喝汤比吃菜更有营养,1
吃人参能治百病,1
穿束腰能缩小腰围,1
新冠可以通过食物传播,1
自制水果酵素瘦身美容,1
早餐是重要一餐有助维持代谢水平,0
国家免费疫苗包含多种基础疾病预防项目,0
胰腺癌是因为糖吃太多,1
癌症是因为“气”憋出来的,1
拍打拉筋不具有医学确切证据支持疗效,0
得新冠就不会再得第二次,1
手指长倒刺是常见现象，和维生素缺乏无关，是由于物理摩擦或洗手过多所致,0
揉眼可带入细菌并伤害角膜,0
传染病患者可依法结婚和生育,0
过度刷夜可能引发视疲劳与干眼,0
月经期间吃冷饮会不孕,1
电脑模式开护眼色就不伤眼,1
吸烟有害健康不具备抗病毒作用,0
喝红糖水不能治疗痛经。,0
吃粗粮可以治愈糖尿病,1
所谓“寒湿体质”需综合分析非单一指标,0
心理疾病只能通过药物解决,1
按摩耳朵可以治疗高血压,1
空腹运动并不一定更燃脂反而可能造成能量不足,0
抗病毒药物越早吃越好,1
醋泡脚治脚气,1
打疫苗后仍需保持良好生活习惯提升防护效果,0
失眠人群不建议日间补觉。,0
存在易胖体质,0
消化功能较弱的人群：饭前空腹吃水果可能引发不适。水果中的果酸易刺激肠胃，可能导致腹痛、腹泻、胃痛等症状，这类人群更适合饭后吃水果。,0
毛孔能用冰水收缩,1
体检报告上，HPV和TCT结果有异常，就是宫颈癌,1
高温睡眠环境不利深度睡眠,0
山药含淀粉质不适合糖尿病患者多食,0
眼保健操可改善眼部血液循环但非治近视手段,0
味精不致癌,0
打疫苗会影响智力发育,1
清晨做广播操能排出体内湿气,1
心理疾病能通过锻炼治愈,1
出汗是水分流失，不等于脂肪减少,0
睡太久脑子会变迟钝,1
疫苗注射后记忆力变差,1
跳绳10分钟等于跑步半小时,1
不打疫苗的人易感染传播疾病危害他人,0
泡脚时间并非越长越好,0
长时间桑拿可能导致脱水并非排毒,0
怀孕早期同房会导致胎儿畸形,1
食材种类多样化比追求单一神效更重要,0
狂犬病预防需及时接种疫苗,0
疫苗能使机体产生特异性抗体预防感染,0
刮痧越出痧代表病越重,1
锻炼过度不利于恢复和健康,0
所有慢性病都能靠调理根治,1
指甲月牙多才健康,1
部分无糖产品可能添加较多油脂，因此仍属于高能量食品，过量食用可能导致肥胖,0
HPV疫苗会让人不孕,1
多吃蛋黄补脑,1
喝酵素就能清肠减肥,1
饮食结构对癌症风险有影响但不能完全预防,0
疫苗是人工疾病的源头,1
内脏脂肪减少需整体生活方式改变,0
孕妇不能接种任何疫苗,1
每天固定时间起床伤身体,1
癌症复发与肿瘤特性及个体差异有关,0
长期近距离用眼是近视的主要诱因之一,0
眼镜配戴不会导致眼睛“变懒”,0
用银饰能检测食物是否有毒,1
咳嗽可能是多种疾病表现需评估传染性,0
减肥,0
体重不降说明运动无效,1
男人射精越多越容易秃头,1
量子美容可以除皱抗衰,1
接种疫苗是个人与公共健康责任的体现,0
中医中的“补肾”需明确具体证型,0
心态好就不会有心理疾病,1
不食用野生蘑菇和野生植物等，以免引发食物中毒。,0
消毒剂严禁饮用,0
吃韭菜可壮阳治疗阳痿,1
胎动越多说明越健康,1
睡眠不足会影响专注力判断力与记忆力,0
煎中药器皿应避免铝铁但不必迷信砂锅,0
痛风治疗目标是控制血尿酸水平,0
吃得慢有助提升饱腹感减少总摄入,0
. 吃芹菜不能降血压。,0
血脂升高并不是要少吃肉,0
咀嚼越快摄入越少,1
无发热者也可能为传染源,0
心理疾病并非装出来也非可耻之事,0
刷牙时间不是越长越好,0
心理疾病评估需考虑时间持续性和功能影响,0
避孕药会导致月经不调一辈子,1
勤洗手比消毒手更重要,0
刮痧出痧越多病越重,1
自慰不会导致阳痿如适度无害,0
阳虚就必须吃羊肉和鹿茸,1
精子数量非唯一性能力指标,0
适量饮酒没好处,0
癌症是“想多了”造成的,1
摄入含铁食物有助提升运动能力,0
心理问题根本不需要重视,1
肌肉酸痛是适应过程但非锻炼效果唯一指标,0
拔智齿能瘦脸,1
肌肉不会变成脂肪，结构完全不同,0
吃鱼眼不能明目,0
月经不规律就是怀孕征兆,1
红豆薏米水能祛湿减肥,1
慢性病管理包括饮食运动心理和用药综合措施,0
酸奶空腹喝对肠胃最好,1
远眺能缓解近距离用眼带来的调节疲劳,0
调理妇科疾病需排除器质性病变后辨证施治,0
老人手抖就是帕金森,1
疫苗不会破坏免疫系统而是增强其反应能力,0
阳性不等于重症需综合评估,0
晚饭吃得早就不会胖,1
戴合适眼镜能减缓近视发展,0
心理疾病也可通过教育和科普减少误解,0
手掌颜色能看五脏功能,1
禽流感病毒无法通过熟鸡蛋传播,0
吃香蕉通便但不能空腹,1
深度睡眠占整个睡眠时间的20%左右,0
常剃毛会让毛变粗,1
心脏病人应在医生指导下进行康复运动,0
一次感染不代表终身免疫,0
经络通了就百病不生,1
过午不食最能控制体重,1
儿童视力问题需早发现早干预,0
不吃零食就是科学减肥,1
大蒜生吃才杀菌,1
每天喝五谷杂粮粉可强身健体,1
力量训练不会让肌肉变“硬块”,0
得了心理病就是疯了,1
新冠后遗症都是心理作用,1
接种疫苗后容易感染其他疾病,1
心理疾病治不好,1
疫苗里的微芯片会追踪人,1
不打疫苗孩子更聪明,1
零食应合理选择非完全禁止,0
规律的生物钟有助荷尔蒙稳定,0
长期佩戴隐形眼镜需注意卫生和角膜健康,0
"并非运动达到一定心率才可以开始燃脂脂肪的消耗受到多种因素的影响,包括运动的类型、强度和持续时间,以及个人的体能状况和运动经验。运动的每一秒都在燃烧脂肪,只是消耗不同类型供能物质(糖、脂肪、蛋白质)的比例不同。",0
心理疾病可能影响决策但可通过支持缓解,0
睡前焦虑、思虑过多常为入睡困难原因,0
艾叶泡脚治妇科病,1
果汁比水果更健康,1
戴镜早可避免视觉发育不良,0
艾滋病是同性恋专属病,1
焦虑的人只是在找借口,1
疫苗让血液变稠,1
健身房与居家训练各有优势关键在方式,0
失眠是心理疾病的前兆,1
过敏状态可能会随着年龄的变化而变化,0
间歇性禁食并不适用于所有人需个体化选择,0
米油不适合给宝宝当辅食。吃辣椒不刺激长痘。,0
性生活越频繁男性越虚弱,1
开空调会得面瘫,1
癌症患者也可接种部分疫苗如流感疫苗,0
疫苗接种前如患感冒建议延后接种,0
睡眠环境中蓝光来源需控制,0
处女膜结构因人而异不能判断性经验,0
健康人群不建议盲目服用减肥药,0
配镜合理不会加重近视发展,0
青少年近视是假性过一阵就好了,1
少量多餐对部分人控制血糖更有利,0
熬夜刷剧不影响身体,1
蓝光镜可减少部分蓝光刺激但非万能防护,0
吃南瓜不能降血糖,0
饭后百步走活到九十九,1
BMI不是评估肥胖的唯一标准应结合体脂率,0
睡前跳绳可以加速瘦腿,1
用眼药水能预防近视,1
腰疼就要贴膏药,1
癌症患者应根据医生建议科学饮食,0
长寿秘诀就是“肾好命就好”,1
眼部按摩有助放松但不能逆转近视,0
需控制血脂、血压水平的人群：推荐饭前吃水果，可帮助维持身体代谢的稳定。,0
吃猪蹄补胶原蛋白,1
不吃早餐会变笨,1
饮酒不等于增强性能力,0
看电视远点就不会近视,1
大蒜虽含活性物质但不能治癌,0
肿瘤治疗后生活质量管理同样重要,0
食物不能用微波炉加热会致癌,1
心肌梗死可无典型症状早识别可救命,0
避孕套会破坏阴道菌群,1
持续缺觉会导致胰岛素抵抗易胖体质,0
橄榄油涂脸能抗衰老,1
感冒了不能洗头,1
不吃油就不会胖,1
合理饮食应有节制不追求极端,0
心理疾病与智力水平无直接关联,0
癌症病人忌一切甜食,1
合理使用电子产品结合休息可减少视力损伤,0
蔬菜水冲奶粉隐患很大,0
耳鸣说明要发财了,1
心理治疗过程需时间与耐心非立刻见效,0
拍打身体能通经络活气血,1
喝绿豆汤能解一切毒,1
跳操就能代替任何训练,1
多拍打腋下可以清理淋巴毒素,1
推腹能促进排气但不等于治病,0
营养标签能帮助判断食物成分与热量,0
蜂蜜不能用热水冲,1
每餐少吃一口饭就能暴瘦,1
腹肌生长依赖刺激、营养与休息,0
水果可以无限量吃不影响减肥,1
疫苗不能防传染只防重症,1
疫苗破坏大脑神经,1
杨梅里经常会出现白色的小虫子，有人担心吃了会危害健康。实际上，杨梅中的这种小虫子是果蝇的幼虫，不会危害健康，也不会在人体寄生，无毒无害。,0
充足睡眠可增强免疫力与修复能力,0
气虚等词为中医理论无法与现代病理直接对照,0
维生素C吃多了不会中毒,1
晚上喝牛奶会发胖,1
癌症能通过亲密接触传染,1
感冒不分寒热现代治疗主要为对症处理,0
传染病会改变一个人的性格,1
安眠药能长期服用没副作用,1
瘦身靠意志力就够了,1
适量脂肪是激素合成不可缺的成分,0
天天洗头容易秃头,1
处女膜只能破一次,1
只要休息好视力就能恢复,1
洗头不能在晚上否则伤阳,1
发烧一定不能洗澡,1
穿内衣睡觉容易得乳腺癌,1
癌症化疗都是毁人身体的,1
隔夜茶毒性大不能喝,1
发烧期间不应喝水,1
揉后背可以治便秘,1
慢性病不是“湿气重”所致,0
油脂摄入需选择不饱和脂肪为主,0
节食不能更长寿。,0
精液营养丰富可以美容,1
心理疾病说明你性格有缺陷,1
练得越累效果越好,1
调经需明确病因中药并非万能,0
伤口不能沾水否则难愈合,1
红枣阿胶等补品并非人人适合,0
体重维持需要长期健康的生活方式,0
艾滋病通过体液传播而非接吻,0
起夜次数增加可能与年龄、饮水有关,0
新冠疫苗能彻底阻断病毒传播,1
有心理问题不能要孩子,1
喝蜂蜜水不解酒。,0
摄入足量蛋白有助维持肌肉健康,0
接触疫区人员需结合检测进行评估,0
合理跑步方式并不会伤膝盖,0
脱脂牛奶、低脂牛奶、全脂牛奶的主要区别是能量和脂肪含量的不同，蛋白质的含量和碳水化合物的含量是差不多的,0
精液营养价值不足以外用美容,0
心理治疗重在“共情”与“合作”而非控制,0
疫苗让身体变得更弱,1
彩妆与卸妆不当可能诱发眼部疾病,0
心理疾病是现代社会的“潮病”,1
每个人每天都长癌细胞只是没爆发,1
蜂蜜不能防治便秘对血糖波动敏感者不推荐,0
灌洗无法阻止怀孕还可能导致感染,0
熬夜睡前敷面膜能防止皮肤老化,1
心理咨询费用视地区和专业程度而定,0
疫苗是政府控制人口的工具,1
心理咨询适合所有心理困扰者并不限严重者,0
睡前刷手机不伤眼,1
阴天时运动不用防晒,1
电子产品护眼模式可缓解但不替代休息,0
基础代谢率因年龄性别和肌肉量而异,0
肚脐贴花椒能治腹泻,1
大声咳嗽，心肌梗塞10秒就能救回,1
疫苗研究需多年且投入巨大以确保安全,0
喝中药不能同时吃西药,1
吃饭后吃一些特定食物能抵消热量吸走脂肪。,1
闭眼休息能缓解疲劳但需结合正确方法,0
避孕措施不能防性病需安全套联合使用,0
刷夜打游戏不影响视力,1
运动应配镜保障安全与视野,0
疫苗有大量致敏成分,1
举铁会让人变笨,1
轻松运动也可促进健康,0
烧水壶中有水垢，喝完水易得肾结石,1
膝盖响就是骨头磨损,1
饮食与生活方式可改善精子质量,0
夏天不能喝冰水,1
蓝莓表面的白霜并不是农药残留，而是一种天然的保护层，称为果粉。,0
房事后不洗澡就容易怀孕,1
肿瘤“饿死疗法”缺乏有效证据不推荐,0
疫苗接种者容易过敏,1
只练核心就能提升全身力量,1
萝卜和人参不能同吃,1
"到了一定年龄均会出现老花眼。其中,近视者可能表现为看近需摘眼镜或更换低度数镜片,远视者则更早出现明显视近困难。",0
睡觉前三四个小时内不宜剧烈运动,0
眼睛干是因为水喝太少,1
每天跑步对膝盖伤害大,1
婴儿摇头是耳朵发炎,1
有氧与无氧常有交集可整合设计,0
睡眠习惯可训练但需过程与耐心,0
吃海鲜不能配啤酒,1
泡脚时水里加艾叶等于全身调理,1
国家免疫规划为儿童免费提供基础疫苗服务,0
夜晚灯光昏暗保护视力,1
近距离阅读是近视的重要诱因,0
不喝酒就不会得肝癌,1
节食减重通常优先减少肌肉和水分,0
不吃油就一定更健康,1
“湿气重”并非现代医学术语,0
小腿抽筋是中风前兆,1
用保鲜膜裹腹部睡觉能减肚子,1
糖尿病并非只因吃糖与胰岛素抵抗关系更大,0
果核煮水根治糖尿病,1
男孩晚上磨牙是肾虚,1
精神分裂症的人都有暴力倾向,1
疫苗中辅料是保证药效和保存所需成分,0
出汗越多身体越好,1
想要咳嗽或者打喷嚏，却捂住口鼻强忍住，会使得呼吸道的气流得不到缓解，而遭到阻碍的气流突然改变方向可能会伤害到耳道鼓膜、呼吸道、咽喉，严重时甚至可能导致鼓膜穿孔、听力丧失、头部血管损伤等严重后果,0
感冒不能洗澡,1
拔罐能把体内湿气和毒素拔出来,1
中医“寒热”理论不等于病毒细菌划分,0
速度和耐力需渐进训练并非越快越好,0
西红柿和虾不能一块吃，会食物中毒,1
每天拍手养生,1
“肝郁气滞”类说法常用于解释情绪困扰,0
“0蔗糖”就是无糖,1
吃降压药会依赖,1
艾滋病会通过蚊虫叮咬传播,1
只要每天少吃一口饭就能瘦,1
性行为定义因文化法律不同不局限方式,0
HPV疫苗建议在性生活开始前接种效果更好,0
艾灸宜点到为止不可天天施灸,0
常吃红枣能补气养血治疗贫血,1
泡脚有助于放松但不能治病,0
饭后散步需适度不宜立即剧烈运动,0
长期憋尿会导致肾衰竭,1
吃紧急避孕药等于堕胎,1
小便黄是肝火旺,1
适当运动有助改善心理状态但非唯一手段,0
抗病毒药物需在医生指导下使用,0
出汗多反映体温调节而非脂肪燃烧,0
只要消毒手就不会感染,1
体外排精是安全避孕方式,1
风油精能防新冠病毒,1
跑步机与户外跑各有优劣,0
鸡蛋的营养和蛋壳颜色无关。。,0
摄入足够膳食纤维有助于控制食欲和肠道健康,0
肾虚非西医诊断用语可能涵盖多种病因,0
卵巢早衰会导致断崖式衰老,1
中风前会全身发冷,1
高血脂患者不能吃肉,1
近视一旦发生无法控制加深,1
晨起称重更准确应排空后测量,0
泡脚并不适合所有人，如儿童、脚部不适者、下肢静脉曲张患者、下肢动脉硬化或闭塞患者以及糖尿病足患者,0
滴眼液可防辐射,1
豆浆不能和鸡蛋同食,1
治疗癌症需结合病理分期和个体差异,0
健康饮食可增强免疫但不能防所有疾病,0
头朝西睡觉对心脏不好,1
运动前不能喝水,1
身体在剧烈节食下会激活储存机制,0
跑得越快越能提高耐力,1
贴足贴能排毒养颜,1
每次运动都要一个小时以上才有效果,1
中成药含药物成分需严格服用不可随意加量,0
吃某种食物，吃的越多瘦的越快。,1
一热一冷锻炼法能增强体质,1
中药材越贵越补,1
窗边光线好但也需控制距离与时长,0
多喝汤补水效果好于白开水,1
不动比睡觉更能恢复体力,1
不打疫苗也不会感染,1
接种疫苗等于被注射病毒,1
清淡饮食核心是避免油腻高糖高盐刺激性食物并不排斥适量的动物蛋白,0
病毒会潜伏在衣服上很久,1
情绪病都需要吃镇定剂,1
运动后不应完全空腹避免代谢紊乱,0
轻度睡眠障碍可通过改善生活方式逆转,0
白天越累晚上睡得越好,1
体质调理需个性化不可千人一方,0
喝醋熏屋子可以消毒,1
吸烟可以预防新冠病毒,1
疫苗引发心肌炎是常见副作用,1
戴眼镜的人眼球会变形,1
白内障通过手术可恢复视力非失明标志,0
控制近视加深需多方面干预如户外、配镜等,0
阴天也需要做好防晒,0
运动前进食能提供能量提高表现,0
性冷淡可通过心理咨询或内分泌调节改善,0
心理健康需要社会政策支持与环境改善,0
强光环境下看屏幕伤害较大,0
止咳药治所有咳嗽,1
心理疾病会永久改变一个人的大脑,1
糖尿病人完全不能吃水果,1
中药无副作用,1
减肥并不等于追求体重下降更应关注体脂率,0
生病期间应暂停或调整训练,0
胆固醇升高不等于疾病需综合评估血脂,0
心理问题可以暂时性出现不代表“有病”,0
疫苗接种并不会影响未来的生育能力,0
癌症能通过飞沫传播,1
补铁就必须吃猪肝,1
肚子大说明体内湿气重,1
生姜红糖适合寒性痛经对气滞热性无益,0
艾滋病不通过空气或日常接触传播,0
性病传播需体液交换共用马桶风险极低,0
心理问题不是“想太多”而是功能受限,0
火龙罐能驱除体内寒毒,1
皮肤晒伤涂芦荟,1
运动多了会伤肾,1
中医古方都非常安全无副作用,1
一日三餐必须定点定量,1
水果不能饭后吃,1
在医生建议下偶尔进行必要 CT 检查来帮助诊断和治疗，是不必过度担心辐射风险的,0
看绿色和保护视力没有什么关系,0
吃酱油不会让脸上长斑,0
小便后冲洗能防止性传播疾病,1
无食物具备避孕效果需依赖正规手段,0
孩子长大后近视自然会好,1
蛋白粉吃多了不会长脂肪,1
视力好坏只与遗传有关,1
不抽烟就永远不得肺癌,1
持续的睡眠障碍可能是心理疾病信号之一,0
肾结石患者不必完全避免补钙,0
适度摄入坚果对心血管有益,0
抑郁症是富贵病,1
不戴眼镜可以训练视力恢复,1
慢病管理需长期坚持和规范随访,0
失眠的人不能喝水,1
月经不规律可能有多种原因应医学检查,0
积极心理学可增强心理韧性,0
肿瘤“饿死疗法”比化疗有效,1
水果热量很低可以当正餐,1
打鼾可通过减重、侧睡等行为干预缓解,0
高盐会增加骨质疏松的风险,0
中医术语需辨证施治不可盲目套用,0
每天早起跑步能治失眠,1
长时间戴口罩会中毒,1
全球卫生组织推荐疫苗以控制重大流行病,0
近视受遗传因素和环境因素影响,0
吃零食前喝水能稀释热量,1
长期依赖褪黑素补充剂需医学建议,0
调理“肾气”需明确症状与疾病对应关系,0
熬夜不影响干眼症,1
服中药期间应告知医生避免与西药冲突,0
仙人掌能防辐射,1
睡觉时一定要戴眼罩,1
环境噪音和光污染会影响入眠和深睡,0
睡觉流汗是正常排毒,1
慢性咽炎能拖成喉癌,1
柚子皮能去甲醛,1
心理病不是“现代人才有”的问题,0
长期不戴眼镜可能加重视疲劳与视力恶化,0
打疫苗让人体质变差,1
揉太阳穴能治头痛,1
运动必须大汗淋漓才有效,1
喝白醋可以溶解脂肪,1
疫苗由国家和国际机构监管确保质量和透明度,0
酒精喝下去可以消毒身体,1
拍嗝能清肺,1
鼻涕倒流会进脑子,1
运动后的补水和营养补给对恢复非常关键,0
牙龈出血是火气大,1
适量补水有助运动表现和安全,0
性能力差异属个体差异非判断标准,0
断食疗法能饿死癌细胞,1
一天只吃一种食物不能减重,0
性病都是同性恋人群才得的,1
敲胆经能瘦腿,1
过度锻炼可能造成身体压力,0
捂汗能逼出寒气,1
按摩可能舒缓疲劳但不等于治疗疾病,0
光吃沙拉就能满足营养需求,1
鸡蛋不能和糖一起煮会致癌,1
癌细胞不会因手术被“惊动”而扩散,0
中医理论需专业人员辨证使用,0
呼吸暂停综合征会增加心脑血管疾病风险,0
心理疾病可通过专业评估判断真假,0
运动有助于改善血糖血脂血压,0
性生活与子宫下垂无直接因果关系,0
得了癌症不能运动,1
睡眠不规律会增加代谢综合征风险,0
喉咙痛用盐水漱口就能好,1
打疫苗会得自闭症,1
太阳光能改善眼部循环,1
结核病是穷人病,1
生理期不能洗头,1
长时间躺床就是休息,1
光脚走路可以治偏瘫,1
长期跑步会变成“肌肉腿”,1
吃水果一定要空腹,1
牙膏底部彩条代表成分,1
心理疾病患者有权接受教育工作和恋爱,0
喝醋泡黑豆可乌发,1
孩子吃盐多会变笨,1
孕妇吃黑豆生儿子,1
眼药水不适用于预防近视,0
多喝水治不了感冒，水喝得过多可能还会造成身体脱水,0
气血不足就一定要喝四物汤,1
登革热通过接触传播,1
视力差就是肝不好,1
腰酸背痛就是肾亏,1
接种疫苗可显著降低感染率和重症风险,0
核心训练应结合全身稳定性提升,0
商家用废旧塑料袋做紫菜和粉丝,1
疫苗接种者寿命短,1
疫苗对孕妇和胎儿安全性已有充分研究支持,0
运动要坚持每天都练不能中断,1
碳水化合物是人体主要能量来源不可完全剔除,0
睡前锻炼最好,1
中成药也含化学成分需警惕不良反应,0
强光裸眼训练可能伤害视网膜,0
焦虑是因为太闲了,1
肝脏排毒时间是晚上11点,1
绝经后女性仍有性健康需求,0
青少年心理问题是因为学习不好,1
肾虚是性生活过多导致的,1
枕头高低决定智力,1
牛奶越浓越有营养,1
运动完洗澡需控制水温与心率变化,0
中药煎煮时间视药物种类和剂量决定,0
力量训练可以帮助维持基础代谢率,0
适量食用坚果有益健康但能量密度高需控制,0
每晚都要做梦才能排毒,1
跑步机比户外跑更容易瘦,1
猪肝虽含铁但胆固醇较高不适合大量摄入,0
失眠靠意志力可以克服,1
打了疫苗就可以不戴口罩,1
心理咨询只能开导没效果,1
外地人更容易带病,1
高血糖会增加心血管并发症风险,0
儿童失眠是心理问题,1
早餐摄入优质碳水有助于控制全天热量摄入,0
吃鱼眼能明目,1
早泄是心理疾病无法治疗,1
长痘是体内毒素排出,1
心理疾病治不好只能拖着,1
胰腺癌等高危人群应定期体检,0
不吃晚饭可以延年益寿,1
吃果蔬脆 ≠ 吃蔬菜,0
合理眨眼频率有助保持眼表湿润,0
头顶冒热气是肾气虚,1
病毒不可能通过无线网络传播,0
体质虚弱不能运动只能静养,1
站着吃饭更容易瘦,1
胖人都血脂高,1
中等硬度的床垫更好地支撑脊柱，减少肌肉负担,0
肌肉比脂肪重但体积更小,0
传染病一定需要住院,1
控制三高能有效预防心脑血管事件,0
揉眼睛可以消除异物感,1
洗牙会让牙缝变大,1
心理疾病都是被“灌输”出来的,1
清宿便不可以排肠毒,0
深度疲劳可能是癌症或慢病早期表现,0
性健康教育适用于各年龄段,0
苹果是万能营养水果,1
艾滋病通过共用马桶传播,1
中医辨证治疗需医生临床观察不可自断,0
过敏性鼻炎目前是不可治愈的,0
喝黄酒驱寒,1
拍打疗法无确切疗效可能造成软组织伤害,0
避孕药吃一次就会不孕,1
癌症并不等于绝症许多类型可长期带瘤生存,0
喝冰水会让脂肪凝固在体内,1
中医看舌苔就能判断所有病,1
红酒配芝士能软化血管,1
做梦一定是浅睡眠,1
合理用药能延缓慢性病并发症发生,0
食物能通血管,1
夜间醒来保持安静能更容易再次入睡,0
吃太多寒凉食物会伤脾胃,1
吃辣可以减肥,1
全麦食品含碳水但升糖指数较低,0
咖啡空腹喝才有效减脂,1
用小苏打洗牙能美白,1
阳光适量对视力发育有益但应注意UV防护,0
得了心理病只能辞职躺平,1
合规防护如口罩防护可降低感染概率,0
炒菜应选择合适油种控制温度减少油烟,0
不打疫苗可增强自然抗病能力,1
吃红枣能治贫血,1
眼疲劳是用眼过度的信号需调整用眼习惯,0
香蕉和芒果热性不能多吃,1
晚上洗头容易得偏头痛,1
每天泡脚能活百岁,1
中医药现代发展需循证研究支持,0
中药需要根据病情调配不能自行配伍,0
不同人对食物的代谢反应存在差异,0
肾虚是男性一切问题的根源,1
榨取一杯果汁，通常需要使用三四个水果，这会使人在不知不觉间摄入远超正常量的果糖。此外，榨汁过程会导致水果中的膳食纤维和维生素大量流失，营养价值大打折扣。,0
固定起床时间有助于睡眠稳定,0
中医理论无法完全代替临床实证医学,0
睡得越多越好,1
太阳越晒眼睛越健康,1
疫苗注射等于拿命赌博,1
运动时心跳太快是心脏病,1
儿童需要固定作息以支持发育与情绪稳定,0
体质酸性就容易得癌症,1
精液接触皮肤会导致过敏,1
推拿越痛说明效果越好,1
只要年轻身体好就不会感染,1
“价”是HPV的型别，二价、四价和九价预防宫颈癌效力相当,0
性病都是不洁性生活造成的惩罚,1
春季是过敏高发期。对于过敏体质的个体，被动做法是远离过敏原，主动做法则是重塑免疫系统的平衡。除了规律作息、避免熬夜、适量运动外，还要注意不要过于洁净。在野外、郊外多接触自然界的微生物，在饮食方面多吃天然食物，可以使机体的代谢处于一个良好的状态，对免疫平衡有益。,0
长期控制血糖可延缓糖尿病并发症,0
疫苗导致慢性疲劳综合征,1
乳头颜色多为个体差异无生育影响,0
泡温泉可以治疗关节炎,1
只要闭眼就等于休息,1
感染性疾病都是不洁造成的,1
儿童补钙必须吃钙片,1
心肌梗死会提前胸痛几天,1
中医靠经验胜过科学,1
每天排便越多越能防癌,1
坚果虽健康但应注意每日限量,0
伤口抹牙膏能止痛,1
女人来月经不能洗澡,1
疫苗只对部分人有用对大多数人无效,1
有些食物可在某种程度上延缓眼睛衰老。维生素C、叶黄素和玉米黄素、Ω-3脂肪酸、B族维生素、复合维生素的摄入可能延缓晶状体的老化；叶黄素、玉米黄素和Ω-3脂肪酸对视网膜的衰老可能有延缓的作用。羽衣甘蓝、菠菜、花椰菜、南瓜、玉米、柑橘，以及蛋黄等食物富含叶黄素和玉米黄素，适当摄入对眼部健康有益。,0
喝酒暖身,1
戴眼镜不会导致度数加深,0
性表达主动性不等于道德问题,0
疫苗可预防因病毒感染引发的严重并发症,0
做冥想等于迷信,1
睡觉戴眼罩能防近视,1
女性只要洁身自好就不会得性病,1
熬夜后补觉有一定帮助，但一定要注意控制补觉的时长,0
可以用大蒜鉴定地沟油,1
心理问题都是没事找事,1
高潮反应复杂并非所有人都有体验,0
拍打按摩有助于放松不能替代医疗干预,0
女人比男人更需要睡眠,1
头疼就是风邪侵袭,1
疫苗只是官方掩盖真相的工具,1
新冠病毒是实验室制造出来的,1
花生红衣能补血,1
失眠可伴有入睡难、早醒、易醒等表现,0
通经络就是打通气血运行,1
吃虾不能配西瓜,1
游泳能自然拉长身高,1
病毒都是人工制造的,1
中药泡茶长期饮用可能有肝肾负担,0
隔夜茶在保存得当情况下可安全饮用,0
长期喝红糖水能调理痛经,1
所有肿瘤都能通过B超查出来,1
动感单车伤膝盖,1
运动时多出汗减重效果并没有更好，出汗多少不反应减肥效果,0
孕妇不能看恐怖片,1
冬草莓可以吃,0
大豆雌激素致癌不能吃,1
确诊了传染病就会被社会隔离,1
部分传染病可治愈不会长期带毒,0
打嗝说明胃有毒,1
男人吃豆腐不会变娘。,0
乳腺癌一定要切除乳房,1
天然食品就一定不会发胖,1
疫苗接种可与营养补充协同提高防护力,0
药酒浓度高不可当饮料随意饮用,0
运动伤害不可避免,1
晚餐不应过饱也不建议完全不吃,0
跑步会让子宫下垂,1
焦虑说明你不够坚强,1
按摩淋巴能排毒,1
祛痘必须戒糖和油,1
泡澡出汗不等于排毒仅为体温调节反应,0
吃香蕉就能通便减肥,1
晚间训练需合理安排作息,0
练完就吃会反弹,1
手脚麻木就是中风前兆,1
癌症是“报应”无药可救,1
心理问题的孩子是“没教好”,1
坐久了屁股长痘是毒素,1
婚后性生活必须规律才健康,1
